FountainTy,the_geom,OBJECTID,Position,Collection,Painted,GISPROPNUM,SIGNNAME,BOROUGH,FountainCo,GISOBJID,SYSTEM,DEPARTMENT,PARENTID,DESCRIPTIO,FEATURESTA
F High Low,POINT (-73.98659181365889 40.60753207315604),1589,Out in Open,02/10/2018 12:00:00 AM +0000,no,B100,Seth Low Playground/ Bealin Square,B,2,100038957,B100-DF0647,B-11,B100,"F High Low, Out in Open",Active
C,POINT (-73.96862765692859 40.7480871896291),1921,In Playground,02/22/2018 12:00:00 AM +0000,no,M158,Robert Moses Playground,M,1,100039303,M158-DF0068,M-06,M158,"C, In Playground",Active
D,POINT (-74.0003631604654 40.750036026114756),2253,"Under Tree, Near Ballfield, Just Outside Playground",02/27/2018 12:00:00 AM +0000,yes,M011,Chelsea Park,M,1,100039632,M011-DF0209,M-04,M011,"D, Under Tree, Near Ballfield, Just Outside Playground",Active
D,POINT (-73.97290101781864 40.72386196549101),2585,"Just Outside Playground, Near Ballfield",04/04/2018 12:00:00 AM +0000,no,M144,John V. Lindsay East River Park,M,1,100039936,M144-DF0392,M-03,M144,"D, Just Outside Playground, Near Ballfield",Active
C,POINT (-73.94639259466328 40.69933443616386),2917,"In Shade, In Playground",05/29/2018 12:00:00 AM +0000,,B302,Charlie's Place,B,1,100040304,B302-DF0897,B-03,B302,"C, In Shade, In Playground",Active
E Wheelchair,POINT (-73.92412001948213 40.703148631662614),23,Out in Open,01/11/2018 12:00:00 AM +0000,yes,B016,Maria Hernandez Park,B,1,100037411,B016-DF0013,B-04,B016,"E Wheelchair, Out in Open",Active
CS Concrete,POINT (-73.83541216458211 40.70989104598132),355,Just Outside Playground,01/22/2018 12:00:00 AM +0000,no,Q015,Forest Park,Q,1,100037746,Q015-DF0001,Q-16,Q015,"CS Concrete, Just Outside Playground",Active
C,POINT (-73.82189029787115 40.749009160447415),687,Out in Open,01/26/2018 12:00:00 AM +0000,no,Q300,Kissena Corridor Park,Q,1,100038044,Q300-DF0097,Q-07,Q300,"C, Out in Open",Active
A,POINT (-73.85043591195084 40.74628271582561),902,Under Tree,01/30/2018 12:00:00 AM +0000,yes,Q099,Flushing Meadows Corona Park,Q,1,100038302,Q099-DF0131,Q-15,Q099,"A, Under Tree",Active
D,POINT (-73.75035291482422 40.594116304422464),1234,Out in Open,02/02/2018 12:00:00 AM +0000,no,Q162J,Beach 17 Playground,Q,1,100038687,Q162J-DF0356,Q-14,Q162J,"D, Out in Open",Active
C,POINT (-74.19801006044196 40.5320604857313),1566,Just Outside Playground,02/09/2018 12:00:00 AM +0000,no,R065,Richmond Parkway,R,1,100038899,R065-DF0087,R-02,R065,"C, Just Outside Playground",Active
C,POINT (-74.01152114448477 40.630582530228764),1898,In Playground,02/15/2018 12:00:00 AM +0000,no,B052,Leif Ericson Park,B,1,100039289,B052-DF0762,B-10,B052,"C, In Playground",Active
A,POINT (-73.92149830053333 40.87145657354482),2230,Near Ballfield,02/27/2018 12:00:00 AM +0000,yes,M042,Inwood Hill Park,M,1,100039682,M042-DF0188,M-12,M042,"A, Near Ballfield",Active
C,POINT (-73.97478960620937 40.7174350715035),2562,"Under Tree, Near Ballfield",04/04/2018 12:00:00 AM +0000,no,M144,John V. Lindsay East River Park,M,1,100039895,M144-DF0369,M-03,M144,"C, Under Tree, Near Ballfield",Active
