date,year,month,tavg
2015-01-01,2015,1,31.28
2015-01-02,2015,1,38.66
2015-01-03,2015,1,35.24
2015-01-04,2015,1,45.14
2015-01-05,2015,1,42.44
2015-01-06,2015,1,21.2
2015-01-07,2015,1,21.740000000000002
2015-01-08,2015,1,13.279999999999998
2015-01-09,2015,1,24.08
2015-01-10,2015,1,21.740000000000002
2015-01-11,2015,1,24.8
2015-01-12,2015,1,35.96
2015-01-13,2015,1,30.2
2015-01-14,2015,1,21.92
2015-01-15,2015,1,29.48
2015-01-16,2015,1,33.98
2015-01-17,2015,1,22.28
2015-01-18,2015,1,32.72
2015-01-19,2015,1,39.38
2015-01-20,2015,1,37.22
2015-01-21,2015,1,30.56
2015-01-22,2015,1,33.98
2015-01-23,2015,1,32.36
2015-01-24,2015,1,35.06
2015-01-25,2015,1,37.58
2015-01-26,2015,1,26.6
2015-01-27,2015,1,24.439999999999998
2015-01-28,2015,1,23.54
2015-01-29,2015,1,26.24
2015-01-30,2015,1,33.98
2015-01-31,2015,1,20.479999999999997
2015-02-01,2015,2,27.5
2015-02-02,2015,2,29.66
2015-02-03,2015,2,19.22
2015-02-04,2015,2,30.02
2015-02-05,2015,2,33.26
2015-02-06,2015,2,18.14
2015-02-07,2015,2,28.94
2015-02-08,2015,2,33.08
2015-02-09,2015,2,28.94
2015-02-10,2015,2,29.84
2015-02-11,2015,2,28.4
2015-02-12,2015,2,32.36
2015-02-13,2015,2,17.6
2015-02-14,2015,2,22.82
2015-02-15,2015,2,20.479999999999997
2015-02-16,2015,2,10.219999999999999
2015-02-17,2015,2,19.4
2015-02-18,2015,2,24.259999999999998
2015-02-19,2015,2,21.92
2015-02-20,2015,2,10.940000000000001
2015-02-21,2015,2,20.12
2015-02-22,2015,2,34.16
2015-02-23,2015,2,29.3
2015-02-24,2015,2,12.379999999999999
2015-02-25,2015,2,27.68
2015-02-26,2015,2,26.96
2015-02-27,2015,2,23.72
2015-02-28,2015,2,22.1
2015-03-01,2015,3,26.78
2015-03-02,2015,3,32.18
2015-03-03,2015,3,28.4
2015-03-04,2015,3,38.84
2015-03-05,2015,3,32.9
2015-03-06,2015,3,21.02
2015-03-07,2015,3,26.78
2015-03-08,2015,3,40.28
2015-03-09,2015,3,44.96
2015-03-10,2015,3,40.64
2015-03-11,2015,3,46.4
2015-03-12,2015,3,45.32
2015-03-13,2015,3,37.04
2015-03-14,2015,3,43.52
2015-03-15,2015,3,44.06
2015-03-16,2015,3,40.28
2015-03-17,2015,3,47.84
2015-03-18,2015,3,33.62
2015-03-19,2015,3,33.44
2015-03-20,2015,3,34.34
2015-03-21,2015,3,34.88
2015-03-22,2015,3,39.92
2015-03-23,2015,3,30.56
2015-03-24,2015,3,33.62
2015-03-25,2015,3,39.019999999999996
2015-03-26,2015,3,45.14
2015-03-27,2015,3,44.96
2015-03-28,2015,3,37.58
2015-03-29,2015,3,33.44
2015-03-30,2015,3,42.26
2015-03-31,2015,3,42.8
2015-04-01,2015,4,39.74
2015-04-02,2015,4,49.82
2015-04-03,2015,4,59.18
2015-04-04,2015,4,51.980000000000004
2015-04-05,2015,4,50.18
2015-04-06,2015,4,46.76
2015-04-07,2015,4,50.540000000000006
2015-04-08,2015,4,42.980000000000004
2015-04-09,2015,4,39.38
2015-04-10,2015,4,42.980000000000004
2015-04-11,2015,4,55.22
2015-04-12,2015,4,51.26
2015-04-13,2015,4,55.58
2015-04-14,2015,4,59.36
2015-04-15,2015,4,59.18
2015-04-16,2015,4,56.480000000000004
2015-04-17,2015,4,59.72
2015-04-18,2015,4,66.02
2015-04-19,2015,4,57.56
2015-04-20,2015,4,50.540000000000006
2015-04-21,2015,4,57.379999999999995
